,SMILES
0,c1c(F)c(F)c(F)c(F)c1(F)
1,c1c(F)cc(F)cc1(F)
2,c1c(F)cccc1(F)
3,c1ccc(F)cc1
4,c1cc(F)ccc1
5,c1c(F)cccc1
6,c1c(F)c(F)cc(F)c1(F)
7,c1c(F)ccc(F)c1(F)
8,c1cc(F)cc(F)c1
9,c1c(F)c(F)c(C(F)(F)F)c(F)c1(F)
10,C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F)
11,c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl)
12,c1c(Cl)cc(Cl)cc1(Cl)
13,c1c(Cl)cccc1(Cl)
14,c1c(Cl)c(Cl)ccc1(Cl)
15,c1ccc(Cl)cc1
16,c1cc(Cl)ccc1
17,c1c(Cl)cccc1
18,c1c(Cl)c(Cl)cc(Cl)c1(Cl)
19,c1cc(Cl)cc(Cl)c1
20,c1c(F)c(F)c(Cl)c(F)c1(F)
21,c1c(F)c(Cl)c(F)c(Cl)c1(F)
22,c1c(Cl)c(F)c(Cl)c(F)c1(Cl)
23,c1c(F)cc(Cl)cc1(F)
24,c1c(Cl)cc(F)cc1(Cl)
25,c1cc(F)cc(Cl)c1
26,c1c(Br)c(Br)c(Br)c(Br)c1(Br)
27,c1c(Br)cc(Br)cc1(Br)
28,c1c(Br)cccc1(Br)
29,c1ccc(Br)cc1
30,c1c(Br)c(Br)cc(Br)c1(Br)
31,c1cc(Br)cc(Br)c1
32,c1ccc([N+](=O)([O-]))cc1
33,c1cc([N+](=O)([O-]))ccc1
34,c1c([N+](=O)([O-]))cccc1
35,C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1
36,C(c1c(F)c(F)c(F)c(F)c1(F))=CCC
37,C(c1c(F)c(F)c(F)c(F)c1(F))=C(CC)c1ccccc1
38,C(F)(F)F
39,C(F)(F)C(F)(F)F
40,C(C(F)(F)F)(C(F)(F)F)C(F)(F)F
41,c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F)
42,c1cc(C(F)(F)F)cc(C(F)(F)F)c1
43,F
44,Cl
45,Br
46,OC
47,[H]
48,C
49,CC
50,CCC
51,CC(c1c(F)c(F)c(F)c(F)c1(F))
52,CCc1ccccc1
53,C(C)(C)C
54,CC(C)(C)C
55,C1CCCCC1
56,C1CCCC1
57,C=C
58,C=CC(C)C
59,C=CC(C)(C)C
60,C=CCCCC
61,C=C(c1ccccc1)
62,C=C(C(=O))
63,C=C(C(=O)CC)
64,C=C(C(=O)OC)
65,C=C(C(=O)C(F)(F)F)
66,C=C(C(=O)([N+](=O)([O-])))
67,C=C(C(=O)[Cl])
68,C#C
69,C#C(c1ccccc1)
70,C#N
71,c1ccccc1
72,c1ccc(N(C)C)cc1
73,c1c(N(C)C)cccc1(N(C)C)
74,c1ccc(OC)cc1
75,c1c(OC)cccc1
76,c1c(OC)cccc1(OC)
77,c1c(C)c(C)c(C)c(C)c1(C)
78,c1c(C)cc(C)cc1(C)
79,c1ccc(C)cc1
80,c1c(C)cccc1(C)
81,c7ccc(c6ccccc6)cc7
82,c1ccc(C)o1
83,c1ccc(C)s1
84,B1C2CCC1CCC2
85,B1cccccc1
86,B1cc(c2ccccc2)ccc(c3ccccc3)c1
87,B1ccocc1
88,B1ccscc1
89,B1OCCCO1
90,B1Oc2ccccc2O1
91,B1OccO1
92,B1Sc2ccccc2S1
93,B1N(c2ccccc2)C(C)=C(C)N1(c3ccccc3)
94,B1N(c6c(F)c(F)c(F)c(F)c6(F))C(C)=C(C)N1(c5c(F)c(F)c(F)c(F)c5(F))
95,B1C([Si](C)(C)C)=C1([Si](C)(C)C)
96,B1cc1
97,B1N(C)CCN1(C)
98,B1c2ccccc2c3ccccc31
99,c5c(F)c(F)c(F)c(F)c5(F)
100,c5cc(F)ccc5
101,c5c(F)cccc5
102,c5ccc(F)cc5
103,c4ccc([N+](=O)([O-]))cc4
104,c4cc([N+](=O)([O-]))ccc4
105,F
106,Cl
107,Br
108,c7c(Cl)c(Cl)c(Cl)c(Cl)c7(Cl)
109,c6ccc(Cl)cc6
110,c6ccc(Br)cc6
111,[H]
112,C
113,CC
114,CCN(C)C
115,CCC
116,C(C)C
117,CCCC
118,C(C)CC
119,C(C)(C)C
120,CCCCC
121,CC(C)(C)(C)
122,C=C
123,C=CC(C)C
124,C=CC(C)(C)C
125,C=CCCCC
126,C=CN(C)C
127,C=C(C(=O)CC)
128,C=C(C(=O)([N+](=O)([O-])))
129,C9CCCCC9
130,C9CCCC9
131,c4ccccc4
132,c4ccc(c2ccc(s2)c3ccccc3)cc4
133,c4ccc(c2ccccc2)cc4
134,c4ccc(c2ccc(C(=O)[OH])cc2)cc4
135,c6ccc(OC)cc6
136,c3ccc(N(C)C)cc3
137,c3cc(N(C)C)ccc3
138,c3c(N(C)C)cccc3
139,[Si](C)(C)C
140,c4c(C)c(C)c(C)c(C)c4(C)
141,c3ccc(C)cc3
142,c7c(C)cc(C)cc7(C)
143,c4c(C)cccc4(C)
144,c7cc2ccccc2cc7
145,C1C(C2)CCC2C1
146,C2=CC(C3)CCC23
147,N1CCCCCCC1
148,N1CCCCCC1
149,N1CCCCC1
150,N1CCC2(OCCO2)CC1
151,N1CCC2(SCCS2)CC1
152,N1CCCC1
153,N1COCC1
154,N1CSCC1
155,N1CCC1
156,N1CC1
157,N1CCNCC1
158,N1CCN(c6ccccc6)CC1
159,N1CCOCC1
160,N1C(C(=O)[OH])C1
161,N1C(C(=O)[OH])CC1
162,N1C(C(=O)[OH])CCC1
163,N1C(C(=O)[OH])CCCC1
164,N1C(C(=O)[OH])CSC1(C)(C)
165,N1C(C(=O)[OH])Cc2ccccc21
166,N1C(C)(C)CCCC1(C)(C)
167,N1C(C)(C)CCc2ccccc12
168,N1cccc1
169,N1nccc1
170,N1cncc1
171,N1ncnc1
172,N1c2ncccc2cc1
173,N1c2ccccc2cc1
174,N1ccc(=O)cc1
175,N1C2CCC1(CC2)
176,N1CCCN2CCCNC12
177,N1CCCN2CCCCCC12
178,/N=N\
179,N([H])N([H])
180,C([H])([H])
181,C(=C([H])C([H]))
182,C([H])C([H])
183,C([H])C(=C([H]))
184,C(=C([H]))C([H])
185,C(=C([H]))C(=C([H]))
186,C([H])=C([H])
187,C(c1c([H])cc([H])cc1)=C(c1ccc([H])cc1([H]))
188,C([H])=C([H])C([H])
189,C([H])C([H])C([H])
190,C([H])C([H])C([H])C([H])
191,C1C([H])C([H])C([H])C([H])C1
192,C1C([H])CC([H])CC1C([H])
193,C1([H])C(C2([H]))C([H])C([H])C2C1([H])
194,C1([H])CC([H])CC([H])(C12)CC([H])CC2([H])
195,C1([H])CC([H])CC1([H])
196,C1([H])C([H])C([H])C1([H])
197,C1([H])C([H])C1([H])
198,c1c([H])c([H])c([H])c([H])c1
199,c1c([H])cc([H])cc1C([H])
200,c1c([H])cc([H])cc1C([H])C([H])
201,c1c([H])cc([H])cc1N=C([H])
202,c1c([H])cc([H])cc1C=C([H])
203,c1c([H])cc([H])cc1c2cc([H])cc([H])c2
204,c1c([H])cc2cc([H])ccc2c1c3c4ccc([H])cc4cc([H])c3
205,c1c([H])cc(c23)c([H])c([H])c2cc([H])c(c13)
206,C([H])Cc1cc([H])c2cc([H])ccc2c1c3c4ccc([H])cc4c([H])cc3CC([H])
207,c1c([H])cc([H])c(c14)c(c23)ccc([H])c2c([H])ccc3c(c45)c([H])cc([H])c5
208,c1c([H])cc([H])c(c12)Oc(c23)c([H])cc([H])c3
209,c1c([H])cc([H])c(c12)Sc(c23)c([H])cc([H])c3
210,c1c([H])cc([H])c(c12)Nc(c23)c([H])cc([H])c3
211,c1c([H])cc([H])c(c12)C([H])c(c23)c([H])cc([H])c3
