,backbone,mono_subs,di_subs
0,*c1c(C2=C([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(*)c2c([H])c([H])c([H])c([H])c2c1O[Si](C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[16*]C(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1Cl,[2*]C(=O)c1c([H])c([H])c([H])c([H])c1C([2*])=O
1,[H]C1([H])**C([H])([H])C([H])([H])*1,[10*][H],[11*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[11*]
2,*c1c([H])c([H])c2c3c(c([H])c([H])c(*)c13)C([H])([H])C2([H])[H],[19*]S(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[30*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[30*])(C([H])([H])[H])C([H])([H])[H]
3,[H]c1c([H])c([H])c(C(=O)C2([H])*OC([H])(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C2([H])*2*c3c([H])c([H])c([H])c([H])c3C([H])(c3c([H])c([H])c([H])c([H])c3[H])*2)c([H])c1[H],[28*][H],[9*]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[9*]
4,*c1c([H])c(*)c(C([H])([H])[H])c([H])c1[H],[21*]c1c(-c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1-c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],[10*]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[10*]
5,[H]c1c(-c2c([2H])c([2H])c([2H])c3c2oc2c([2H])c([2H])c([2H])c([2H])c23)c([H])c2c3c1-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[8*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[10*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([10*])([H])[H]
6,[H]C1=C([H])*c2c([H])c([H])c([H])c([H])c2*1,[13*]Br,[50*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[50*]
7,*c1c([H])*c2c([H])c(C([H])([H])[H])c([H])c([H])c12,[13*]c1c([H])c([H])c([H])c([H])c1[H],[12*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([12*])([H])C([H])([H])C([H])([H])C1([H])[H]
8,*-c1c([H])c([H])c([H])c([H])c1-c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[8*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],[49*]c1c([H])c([H])c([H])c([H])c1[Si](c1c([49*])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
9,[H]c1c([H])c([H])c2c(c1[H])[Se]c1c([H])c([H])c([H])c3c1B2c1c([H])c([H])c([H])c2c4c([H])c([H])c([H])c([H])c4n-3c12,[5*]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[13*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[13*]
