Structure,SMILES,Charge
bronsted_acid_cpa_100,O=P(O)(OC1=CC=CC=C1)OC2=CC=CC=C2,0
bronsted_acid_cpa_101,CC1(C)O[C@@H]2[C@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(OC2(C5=CC=CC=C5)C6=CC=CC=C6)(N)=O)O1,0
bronsted_acid_cpa_102,O=[P@]1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=C(C(C)C)C=C(C45C[C@@H](C[C@H]6C5)C[C@@H](C6)C4)C=C3C(C)C)C=C7C(C=CC=C7)=[C@]2[C@]8=C(O1)C(C9=C(C(C)C)C=C(C%10%11C[C@@H](C[C@H]%12C%11)C[C@@H](C%12)C%10)C=C9C(C)C)=CC%13=CC=CC=C%138,0
bronsted_acid_cpa_103,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC([N+]([O-])=O)=C(C)C([N+]([O-])=O)=C3)C=C4C(C=CC=C4)=[C@]2[C@]5=C(O1)C(C6=CC([N+]([O-])=O)=C(C)C([N+]([O-])=O)=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_10,O=[P@]1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=C4C(CCCC4)=C2C5=C(O1)[C@@]([C@@]6=C(C(C)C)C=C(C(C)C)C=C6C(C)C)=CC7=C5CCCC7,0
bronsted_acid_cpa_11,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=C(C=CC=C4)C4=CC=C3)C=C5C(CCCC5)=C2C6=C(O1)C(C7=CC=CC8=C7C=CC=C8)=CC9=C6CCCC9,0
bronsted_acid_cpa_12,O=P1(O)OC2=C(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C=C4C(CCCC4)=C2C5=C(O1)C(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_13,O=[P@]1(O)OC2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=C4C(C=CC=C4)=[C@]2[C@]5=C(O1)C(C6=CC7=CC=CC=C7[C@@]([C@@]8=C(C=CC=C9)C9=CC(C%10=C(C(C)C)C=C(C(C)C)C=C%10C(C)C)=C8O%11)=C6O[P@@]%11(O)=O)=CC%12=CC=CC=C%125,0
bronsted_acid_cpa_14,O=[P@]1(O)OC2=C(C3=C(C)C=C(C)C=C3C)C=C4C(C=CC=C4)=[C@]2[C@]5=C(O1)C(C6=CC7=CC=CC=C7[C@@]([C@@]8=C(C=CC=C9)C9=CC(C%10=C(F)C(F)=C(F)C(F)=C%10F)=C8O%11)=C6O[P@@]%11(O)=O)=CC%12=CC=CC=C%125,0
bronsted_acid_cpa_15,C1CC23CCC4=C2C(=C(C=C4)C5=C6C=CC=CC6=CC7=CC=CC=C75)OP(=O)(OC8=C(C=CC1=C38)C9=C1C=CC=CC1=CC1=CC=CC=C19)O,0
bronsted_acid_cpa_16,C1CC23CCC4=C2C(=C(C=C4)C5=CC=CC6=CC=CC=C65)OP(=O)(OC7=C(C=CC1=C37)C8=CC=CC9=CC=CC=C98)O,0
bronsted_acid_cpa_17,C1CCC(CC1)C2=CC(=C(C(=C2)C3CCCCC3)C4=C5C6=C(CCC67CCC8=C7C(=C(C=C8)C9=C(C=C(C=C9C1CCCCC1)C1CCCCC1)C1CCCCC1)OP(=O)(O5)O)C=C4)C1CCCCC1,0
bronsted_acid_cpa_18,C12=CC=CC=C1C=CC3=C2C4=C(C=CC=C5)C5=CC=C4OP(C6C7=CC=CC=C7C=CC8=C6C=CC=C8)O3,0
