,SMILES
0,CC1(C)[C@@H]2CC[C@@]1(C(=O)NC[*:1])[C@H](O)C2
1,CC/N=C(\N(CC)C(=S)[*:4])[*:1]
2,COc1nc([*:1])cc(=O)n1C
3,O[*:4]
4,O=C(NC(=S)NCCOCCOCC[*:2])c1ccccc1
5,O=C(OCc1ccccc1)[*:2]
6,c1cc2ccc3ccc(-n4cc([*:1])nn4)c4ccc(c1)c2c34
7,CN(CCCCC[*:6])P1(=O)N2CCC[C@@H]2[C@H]2CCCN21
8,O=C(Nc1ccc2ccccc2c1-c1c(NC(=O)[*:1])ccc2ccccc12)[C@@H]1CCCN1
9,CC(C)c1ccccc1[*:1]
10,O=C(O)[C@H](Cc1ccccc1)[*:1]
11,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Nc1cc(C(F)(F)F)ccc1O[C@@H]1Cc2ccccc2[C@H]1[*:2]
12,c1c2c(c([*:6])c3c1C1CCC3CC1)C1CCC2CC1
13,O=C(C[C@@H](P(=S)(c1ccccc1)c1ccccc1)[*:2])c1ccccc1
14,CN1C(c2ccc(F)cc2)=NC(C(F)(F)F)(C(F)(F)F)[C@H]1[*:2]
15,C[C@@H](c1ccccc1)[*:2]
16,O=C(/C=C/c1ccccc1)[*:2]
17,c1ncc(CCCCC[*:2])[nH]1
18,C(C[*:5])OCC[*:6]
19,O=c1c(NC2CCCCC2)c([*:2])c1=O
20,C=CCN(CC=C)[C@@H]1CCCC[C@H]1[*:2]
21,CS(=O)(=O)N[*:1]
22,CNC(=S)NCc1cc(C[*:2])cc(C(C)(C)C)c1
23,C1C[C@H]2C[C@@H]1C[C@@H]2[*:1]
24,FC(F)(F)c1ccc([*:3])cc1
25,O=C(C1CCCCC1)[*:1]
26,Fc1cccc([*:1])c1F
27,CC1(C)[C@@H]2CC[C@@]1(C)/C(=N/C[*:2])C2
28,S=C(NCSCCSC[*:2])Nc1ccccc1
29,O=C(c1ccc(C(F)(F)F)cc1)[*:1]
30,[O-][n+]1ccccc1-c1cc(-c2ccccc2)cc(-c2cc(-c3ccccc3)cc([*:1])n2)n1
31,O=C(CCCCl)[*:1]
32,CCOC(=O)[C@H](Cc1ccccc1)NC(=O)[*:1]
33,CCOC(=O)c1ccccc1S(=O)(=O)[*:1]
34,CS/C(NCc1ccccc1)=C(\C#N)C(=O)[*:2]
35,O=[N+]([O-])c1cc([*:1])ccc1Cl
36,O=S(=O)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[*:1]
37,CC(=O)[*:5]
38,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)[*:2]
39,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](c1ccnc2ccc(OC)cc12)[*:2]
40,Cc1cc(C)c(/N=C(\N=P(/C(=N/c2c(C)cc(C)cc2C)[*:1])(C(C)(C)C)C(C)(C)C)[*:4])c(C)c1
41,O=C(c1ccc(Br)cc1)[*:1]
42,C1CCC([*:2])CC1
43,COc1cc(Cl)nc([*:1])n1
44,CC(C)(C)[C@H](P(=O)(Oc1ccccc1)Oc1ccccc1)[*:2]
45,CC(C)=NOc1nc(N(C)C)nc([*:2])n1
46,O=C(c1ccco1)[*:2]
47,Ic1ccc2ccccc2c1[*:3]
48,CC(C)(C)c1cc(/C=N/[C@@H]2CCCC[C@H]2[*:2])c(O)c(C(C)(C)C)c1
49,c1ccc([C@@H]([C@H](c2ccccc2)[*:3])[*:2])cc1
50,c1c(C2CCCCC2)cc(C2CCCCC2)c([*:1])c1C1CCCCC1
51,O=S(=O)(C(F)(F)F)[*:3]
52,c1nc(CC[*:2])c[nH]1
53,Cc1cc(=O)c(OCc2ccccc2)c(C[*:1])n1C
54,O=C(N[*:1])c1ccccc1
55,C([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[*:2]
56,CCNC(=O)c1cc([*:2])ccc1OC
57,CN(C)C(=O)[C@H](C(C)(C)C)[*:1]
58,O=S(=O)(Nc1ccccc1)Nc1ccc([*:2])cc1
59,c1cncc([*:1])c1
60,FC(F)(F)c1cc(C(F)(F)F)cc([*:5])c1
