,SMILES
0,CC(C)(C)[Si](C)(C)Oc1c(N2CCCC2)c(C2=CCCCC2)c(B2c3ccccc3-c3ccccc32)c2ccccc12
1,[H]B1CCB(c2ccc(C(F)(F)F)cc2)CN1C(=O)OCc1ccccc1
2,CC1(C)OB(c2ccc3c4c(ccc(N5C(=O)c6ccccc6C5=O)c24)CC3)OC1(C)C
3,[H]N1C(c2ccccc2)c2ccccc2B(C2CCCCC2)N1C1C(Cc2ccccc2)ON(C)C1C(=O)c1ccccc1
4,Cc1ccc(N(Cc2ccccc2)C(C)(C)C)cc1B(C(=O)C1CCCc2ccccc21)c1ccccc1
5,[2H]c1c([2H])c([2H])c2c(oc3c(-c4cc5c6c(c4)-n4c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)cc(c74)B6c4cc(C(C)(C)C)cc6c7cc(C(C)(C)C)ccc7n-5c46)c([2H])c([2H])c([2H])c32)c1[2H]
6,CB1C=CN(Cl)c2ccccc21
7,Cc1ccc2c(B3CCSCC3)cnc2c1
8,COC(=O)C(C(C)C)N(C)c1ccccc1-c1cc2c3c(c1)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
9,c1ccc2c(c1)[Se]c1cccc3c1B2c1cccc2c4ccccc4n-3c12
10,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cccc3c4sc5ccccc5c4n-2c13
11,COc1ccc(CB2ON(C(=O)C(F)(F)F)c3ccccc3C2C)cc1
12,O=C1CCC(=O)B1c1cccc2cccc(N3Oc4ccccc4O3)c12
13,CB1B(c2c(C)cc(C)cc2C)C(c2ccccc2)C(c2ccccc2)N1c1ccc(-c2ccccc2)cn1
14,COCC1CCN(c2ccccc2)CC1B1c2c(C)cc(C)cc2-c2cc(C)cc(C)c21
15,CC(C)(C)C1=BC(N2OC(C)(C)C(C)(C)O2)B=C1
16,COc1ncccc1B(O)C(C)(C)C
17,CC1CC(N(O)C(=O)OC(C)(C)Cc2ccccc2)CB1C(=O)OC(C)(C)C
18,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cccc3c1N2c1cc(C(C)(C)C)cc2c4cc(C(C)(C)C)ccc4n-3c12
19,[H]N(Cc1cccc2c1B(C(c1ccccc1)c1ccccc1)OC2)C(=O)C(C)(C)C
20,Cc1cc(C)c(C)c(N(C(C)(C)C)C23CC(c4ccccc4)N(C(=O)OC(C)(C)C)C(c4ccc(Cl)cc4)C2(C)c2ccccc2B3Cc2cccc3ccccc23)c1C
21,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)cc(-c5ccc(C#N)cc5)c4n-2c13
22,Cc1cc(C)c(B2c3cc4c(cc3N3c5cc6sc7ccccc7c6cc5B(C(=O)C(F)(F)F)c5cc(C)cc2c53)sc2ccccc24)c(C)c1
23,CC(=O)B1C(c2ccccc2)c2ccccc2N1C(C)(C)C
24,CC(C)(C)C(=O)OC1CN(C(=O)c2ccccc2)CC1B1c2ccc(C(C)(C)C)cc2-c2cc(C(C)(C)C)ccc21
25,COc1ccc(B2c3cc(C(C)(C)C)cc4c3b(c3ccc(C(C)(C)C)cc34)-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc2c43)cc1
26,CN=c1c(=BC2CCCCC2)nc2ccccc12
27,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1c(Br)cc(Br)c2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
28,Cc1cccc(C)c1B=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)B(c2ccccc2C(C)C)N1[Si](C)(C)c1ccccc1
29,CC12B(C(=O)c3ccccc31)c1ccccc1C2N1c2ccccc2-c2ccccc21
30,CB(Cc1ccccc1)C1CCCCN(c2c(F)cccc2F)C1
31,S=C(c1cc2ccccc2cc1B1c2ccccc2Sc2ccccc21)N(c1ccccc1)C1CCCCC1
32,CCCCN(C(C)=O)C(=CB1OC(C(OC)(c2ccccc2)c2ccccc2)C(C(OC)(c2ccccc2)c2ccccc2)O1)CCc1ccccc1
33,CC(C)(C)CB1C(c2ccccc2)=NN(C(C)(C)C)C2C3CCCC(CCC3)N12
