,SMILES
0,CCOC(=O)C(C)(CC(c1ccccc1)C1c2ccccc2B(O)C1(c1ccccc1)N1OC(C)(C)C(C)(C)O1)C(=O)OCC
1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc(-c4ccccc4)cc2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
2,CC1=C(C)N(C(C)(C)C)CB1Cc1c2ccccc2cc2ccccc12
3,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccccc1B1c2ccccc2-c2ccccc21
4,CC1(C)OB(c2ccccc2N2OC(C)(C)C(C)(C)O2)OC1(C)C
5,c1ccc2c(c1)Sc1cccc3c1N2c1cccc2c1B3c1cccc3c1N2c1ccccc1S3
6,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)Oc1cc(-c3ccc4c(c3)P(=O)(c3ccccc3)c3ccccc3-4)cc3c1B2c1cc(C(C)(C)C)cc2c4cc(C(C)(C)C)ccc4n-3c12
7,CB1c2ccccc2N(C)c2ccccc21
8,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
9,O=C1c2ccccc2C(=O)N1c1ccccc1B1c2ccccc2Oc2ccccc21
10,N=CB1CCCCC1
11,CC1(C)c2ccccc2B(c2ccccc2N2OC(C)(C)C(C)(C)O2)c2ccccc21
12,CC(C)(C)c1ccc2c(c1)-c1cc(C(C)(C)C)ccc1B2c1ccccc1-c1cc2c3c(c1)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)N3c1cc(C(C)(C)C)cc3c1B2c1ccc(C(C)(C)C)cc1-3
13,COc1ccc(CN2C(C)=CBC=C2C)cc1
14,c1ccc2c(c1)Oc1cccc3c1B2c1cccc2c4ccccc4n-3c12
15,Cc1cc(C)c(N2c3cc4c(cc3B3c5cc6c(cc5N(c5ccccc5)c5cc(C)cc2c53)C2(c3ccccc3-6)C3CC5CC(C3)CC2C5)-c2ccccc2C42C3CC4CC(C3)CC2C4)c(C)c1
16,CC1(C)OB(c2ccccc2N2c3ccccc3Oc3ccccc32)OC1(C)C
17,CC1(C)OB(c2ccccc2N2OC(C)(C)C(C)(C)O2)OC1(C)C
18,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4c(=O)c5ccccc5oc4c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
19,FC(F)(F)c1ccc(N2c3ccccc3Bc3ccccc32)cc1
20,CB1C=CN(c2ccccc2)C=C1
21,Cc1cc2c(c(C)c1B1c3ccccc3-c3ccccc31)B(O)C(c1ccc(C(F)(F)F)cc1)N2c1c(C(F)(F)F)cc(C(F)(F)F)cc1C(F)(F)F
22,CC1=CB(Cc2ccccc2)C=C(C)N1C
23,CB1c2ccccc2N(C)c2ccccc21
24,CN1c2ccccc2B(c2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c2ccccc21
25,CC1(C)C2CC3ON(c4bc(Br)ccc4)OC3(C)C1C2
26,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc3c(c4c5ccccc5n-2c14)-c1ccccc1C3(C)C
27,CC(C)(C)[Si](C)(C)Oc1c(N2CCCC2)c(C2=CCCCC2)c(B2c3ccccc3-c3ccccc32)c2ccccc12
28,CB1C=CN(c2ccccc2)C=C1
29,Cc1cc(C)c(B2c3ccccc3N(c3c(C)cccc3C)c3ccccc32)c(C)c1
30,CB1Cc2ccccc2N(c2ccccc2)Oc2c(Cl)cc3c(c2C1)Oc1cc(O)c(Cl)cc1C31OC(=O)c2ccccc21
31,OB(O)c1cccc2cccnc12
32,CC(C)c1cccc(C(C)C)c1B1C=CN(c2c(C(C)C)cccc2C(C)C)C=C1
33,CC(C)(C)OC(=O)B1c2ccccc2N(Cl)c2ccccc21
34,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
35,CCOC(=O)c1bc(C)c2c(c1N1B(c3ccccc3)c3ccccc3C=C1Br)COC2
36,CB1C=CN(c2ccccc2)C=C1
37,CC(C)(C)c1ccc2c(c1)B1c3cccc4c3N(c3ccccc3C4(C)C)c3cccc(c31)O2
38,C1=CB(c2ccccc2)C=CN1
39,CC1=CB(S(=O)(=O)c2ccccc2)C=C(C)N1S(=O)(=O)c1ccc(C)cc1
40,CC(C)c1cccc(C(C)C)c1B1C=CN(c2c(C(C)C)cccc2C(C)C)C=C1
41,CB1C(c2ccccc2)c2ccccc2N1C
42,COC(=O)C1=CN(C)C(C(Cc2ccsc2)B2c3ccccc3-c3ccccc32)C=C1
43,CN1C(=O)OB2C3CCCC(CCC3)C21
