,SMILES
0,CN1c2ccc(C)cc2B(c2ccccc2)c2cc(C)ccc12
1,COc1ccccc1N1B(N(C(C1c1ccccc1)c1ccccc1)c1ccccn1)[Si](C)(C)c1ccccc1
2,CN1B(OCC1(C)C)C(=NC1=C(N(C)C(C)(C)CO1)c1ccccc1)c1ccc(Cl)cc1
3,CC(C)(C)c1ccc2N3c4cc(cc5N6c7ccc(cc7c7cc(cc(B(c8cc(cc(c2c1)c38)C(C)(C)C)c45)c67)C(C)(C)C)C(C)(C)C)c1ccccc1F
4,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)c1cccc(c1B1c2ccccc2C(=NC(C)(C)C)C1=NC(C)(C)C)c1c(cc(cc1C(C)C)C(C)C)C(C)C
5,OB(O)c1ccccc1N(c1ccccc1)c1ccccc1
6,CC(C)(C)c1ccc(cc1)N(c1ccc2Oc3ccccc3C(C)(C)c2c1)c1cc2N(c3ccc(cc3)C(C)(C)C)C3=C(Sc4ccc(cc34)C(C)(C)C)B3C4=C(N(c5ccc(cc5)C(C)(C)C)c(c1)c23)c1cc(ccc1S4)C(C)(C)C
7,Cc1cc(C)c(B(c2ccccc2CN2c3ccccc3c3ccccc23)c2c(C)cc(C)cc2C)c(C)c1
8,CC1(C)OB(OC1(C)C)C1c2ccccc2N2C(=O)c3ccccc3C12C
9,O=C1c2ccccc2N2c3cccc4N5c6ccccc6C(=O)c6cccc(B(c7cccc1c27)c34)c56
10,CC(C)c1cc(C(C)C)c(B2c3cc4Nc5ccc(F)cc5c4cc3N(C)c3cc4c(Nc5ccc(F)cc45)cc23)c(c1)C(C)C
11,CC(C)(C)B1C=CN(C(=C1)c1ccccc1)C(C)(C)C
12,C[Si](C)(C)N(C(N1CCCCC1)=C(B1Oc2ccccc2O1)N1CCCCC1)[Si](C)(C)C
13,CC(C)(C)C(=O)N1CCCCC(C1)B1OC(C)(C)C(C)(C)O1
14,COC(=O)N1C(C(Cc2ccccc12)B1OC(C)(C)C(C)(C)O1)c1cccc2ccccc12
15,CC(C)c1cccc(C(C)C)c1N(C=C)B(N1C(C)(C)CCCC1(C)C)C1=NC(C)(C)CC1(C)C
16,CC(C)c1cccc(C(C)C)c1NB1CN(C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C
17,CC(C)N(Cc1cccc(F)c1B(O)O)C(C)C
18,OB1OC(N2CCSCC2)c2cc(F)ccc12
19,CC1(C)C2CC3OB(OC3(C)C1C2)C1CCCN2N1C(=O)N(C2=O)c1ccccc1
20,OB(O)c1ccccc1CN1CCCCC1
21,CC(C)(C)S(=O)N1B(Nc2ccccc2C1c1ccccc1)C1C(Cc2ccccc2)ON(C1C(F)(F)F)c1ccccc1
22,COc1ccc(B(O)O)c(OC)n1
23,S1c2ccccc2N2c3cccc4N5c6ccccc6C(c6ccccc6)(c6ccccc6)c6cccc(B(c7cccc1c27)c34)c56
24,CC(C)N(Cc1cccc(CN(C(C)C)C(C)C)c1B(O)O)C(C)C
25,CCN1N=CC(=C1[Si](C)(C)O)B(O)O
26,COc1ccc(cc1)C1(B2OC(C)(C)C(C)(C)O2)N(c2c(cccc2C(C)C)C(C)C)C(C)(C)CC1(C)C
27,CB1Nc2ccccc2N2C=CC=C12
28,COc1ccc(N2Cc3ccccc3B(c3ccccc3C2)c2c(cc(cc2C(F)(F)F)C(F)(F)F)C(F)(F)F)c(C)c1
29,CC(C)c1cccc(C(C)C)c1N1B(Nc2c(C)cccc2C)c2ccccc2C1Nc1c(C)cccc1C
30,CC(=O)Nc1ccc(Br)c(c1)B(O)O
31,COB(N[Si](C)(C)C)C1N(c2c(cccc2C(C)C)C(C)C)C(C)(C)CC21CCCCC2
32,CN(C)c1ccccc1B1OC(C)(C)C(C)(C)O1
33,CC(C)(C)c1ccc(cc1)N(c1ccc2Oc3ccccc3C(C)(C)c2c1)c1cc2N(c3ccc(cc3)C(C)(C)C)C3=C(Oc4ccccc34)B3C4=C(N(c5ccc(cc5)C(C)(C)C)c(c1)c23)c1ccccc1O4
34,CSc1cc2N3c4ccc(cc4c4cc(cc(B5c6cc(cc7c8cc(ccc8N(c(c1)c25)c67)C(C)(C)C)C(C)(C)C)c34)C(C)(C)C)C(C)(C)C
35,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)c1cccc(c1B1N2N(C(=O)N(c3ccccc3)C2=O)c2ccccc12)c1c(cc(cc1C(C)C)C(C)C)C(C)C
36,CC(C)c1cc(C(C)C)c(BC=C2N(C(=C(C)N2c2c(cccc2C(C)C)C(C)C)C)c2c(cccc2C(C)C)C(C)C)c(c1)C(C)C
37,Cc1cc(C)c(B(c2cc(cc(c2)N2c3ccccc3Sc3ccccc23)N2c3ccccc3Sc3ccccc23)c2c(C)cc(C)cc2C)c(C)c1
38,Cc1ccc2ccc(Cl)c(B3OC(C)(C)C(C)(C)O3)c2n1
39,CN(C)C(=Nc1ccccc1B1C2CCCC1CCC2)N(C)C
40,Cc1ccc(cc1N1C(=O)C2(C)CC(C)(CC(C)(C2)C1=O)C(O)=O)B1OCCO1
41,COCC1CCN(CC1B1OC(C)(C)C(C)(C)O1)S(=O)(=O)c1cccc2cccnc12
42,COc1c(cc(cc1C12CC3CC(CC(C3)C1)C2)c1ccc(cc1N1B(N(C(C1c1ccccc1)c1ccccc1)c1ccc(cn1)c1ccccc1)[Si](C)(C)c1ccccc1)c1ccccc1)C12CC3CC(CC(C3)C1)C2
43,CC(=O)N1CCSC1c1c(O)cccc1B(O)O
44,CB1ON=C(N1c1ccc(cc1)S(N)(=O)=O)c1ccccc1
45,FC(F)(F)c1cc(c(B2NC3(C4C(C2N3Cc2ccccc2)C(=O)N(C4=O)c2ccccc2)c2ccccc2)c(c1)C(F)(F)F)C(F)(F)F
46,Cc1cc(C)c(B(c2cc(cc(c2)C(C)(C)C)N2c3ccccc3Oc3ccccc23)c2c(C)cc(C)cc2C)c(C)c1
47,CC1(C)OB(OC1(C)C)c1cccc(c1)N=Cc1c2ccccc2cc2ccccc12
48,[2H]c1c([2H])c([2H])c([2H])c2Oc3c(c([2H])c([2H])c([2H])c3c12)c1cc2N3c4ccc(cc4c4cc(cc(B5c6cc(cc7c8cc(ccc8N(c(c1)c25)c67)C(C)(C)C)C(C)(C)C)c34)C(C)(C)C)C(C)(C)C
49,CC1=CC(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C2(CCCCC2C1)N1CCCC1
50,CC(C)c1cccc(C(C)C)c1NB(N[Si](C)(C)C)C1N(c2c(cccc2C(C)C)C(C)C)C(C)(C)CC21CCCCC2
51,CC1(C)OB(OC1(C)C)C(CC1CCCCC1)N1CCOC1=O
52,CN(Cc1ccccc1B(O)O)C1CCCCC1NC(=S)Nc1ccccc1
53,Cc1cc2N(c3ccccc3)c3ccccc3B3c4ccccc4N(c4ccccc4)c(c1)c23
54,Cc1cccc(C)c1NB1N(C(Nc2c(C)cccc2C)c2ccccc12)C(C)(C)C
55,OB1OC(N2CCOCC2)c2cc(F)ccc12
56,CC1C(=O)N(C(B2OC(C)(C)C(C)(C)O2)N(C1=O)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C
57,Cc1cc(C)c(B(c2cccc3C=CNc23)c2c(C)cc(C)cc2C)c(C)c1
